"","gene","Length","sd","sample_weight"
"97","ABHD8",248.111111111111,245.430460846064,4.64352416202992e-05
"98","ABI1",134.107438016529,47.4162070838113,2.50988811403454e-05
"99","ABI2",130.490909090909,48.0662282888752,2.44220295727719e-05
"100","ABI3",134.458333333333,34.1441689804031,2.51645529627248e-05
"101","ABI3BP",77.8563218390805,32.141654054156,1.45712019912178e-05
"102","ABITRAM",85.1333333333333,32.6077700351721,1.59331312715957e-05
"103","ABL1",292.875,442.238211679594,5.48130284397251e-05
"104","ABL2",261.978947368421,340.423890295594,4.90306768850687e-05
"105","ABLIM1",91.068669527897,43.2723383256613,1.70439592754607e-05
"106","ABLIM2",91.8705882352941,45.2969918761137,1.7194042392541e-05
"107","ABLIM3",85.9370078740157,48.2164017459343,1.60835430017014e-05
"108","ABO",128.117647058824,211.410407251199,2.39778616538317e-05
"109","ABR",112.796296296296,70.5286285107936,2.11103938430544e-05
"110","ABRA",571.5,136.471608769004,0.00010695909774922
"111","ABRACL",148,75.9407663906548,2.76989439490544e-05
"112","ABRAXAS1",112.071428571429,90.2117814103373,2.09747312046652e-05
"113","ABRAXAS2",138.333333333333,130.632117030997,2.58897786911207e-05
"114","ABT1",272,94.3980932010811,5.09061672577216e-05
"115","ABTB1",105.35,59.2606368251563,1.9716782061033e-05
"116","ABTB2",180.882352941176,186.933103794159,3.38530415911535e-05
"117","AC000093.1",100,31.5642202501503,1.871550266828e-05
"118","AC000095.3",698,NA,0.000130634208624594
"119","AC000120.2",45,29.698484809835,8.421976200726e-06
"120","AC000120.3",141.6,43.8109575334756,2.65011517782845e-05
"121","AC001226.2",126.4,81.0640350450049,2.36563953727059e-05
"122","AC002094.3",148,136.524723035793,2.76989439490544e-05
"123","AC002310.4",330,280.487076351122,6.1761158805324e-05
"124","AC002985.1",83.6666666666667,40.3220369855823,1.56586372324609e-05
"125","AC002996.1",98,36.2294276600035,1.83411926149144e-05
"126","AC003002.1",102,68.9855057240287,1.90898127216456e-05
"127","AC003002.2",71.6666666666667,45.544849690534,1.34127769122673e-05
"128","AC003002.3",95.3333333333333,108.964443741984,1.78421125437603e-05
"129","AC003005.1",58.5,53.6423340282654,1.09485690609438e-05
"130","AC003006.1",148.333333333333,127.347294173584,2.77613289579487e-05
"131","AC003688.1",124.5,139.30003589375,2.33008008220086e-05
"132","AC004076.1",66,36.149688795341,1.23522317610648e-05
"133","AC004080.3",112,114.594938806214,2.09613629884736e-05
"134","AC004223.3",100.666666666667,57.3380071054404,1.88402726860685e-05
"135","AC004593.3",116.066666666667,64.4996862303184,2.17224600969837e-05
"136","AC004687.2",258,416.745725832911,4.82859968841624e-05
"137","AC004691.2",122.272727272727,82.8964304528137,2.2883955535306e-05
"138","AC004706.3",3534,NA,0.000661405864297016
"139","AC004805.1",45.3333333333333,38.4751001731423,8.48436120962027e-06
"140","AC004832.3",97.9411764705882,70.4321221001427,1.83301834956978e-05
"141","AC004922.1",122.833333333333,67.1681384551441,2.29888757775373e-05
"142","AC004997.1",103.975609756098,52.9119494088425,1.94595580182628e-05
"143","AC005020.2",126,43.8634243989226,2.35815333620328e-05
"144","AC005041.1",531,841.144458461209,9.93793191685669e-05
"145","AC005154.5",103,61.5386057690617,1.92769677483284e-05
"146","AC005258.1",130,14,2.4330153468764e-05
"147","AC005324.3",168.176470588235,99.3335512894042,3.14750718403603e-05
"148","AC005324.4",309.6,485.726077354533,5.79431962609949e-05
"149","AC005520.1",95.6666666666667,59.6322060635023,1.79044975526545e-05
"150","AC005551.1",223.5,30.4055915910215,4.18291484636058e-05
"151","AC005670.2",87,45.1188905638679,1.62824873214036e-05
"152","AC005697.1",119.25,75.5529615567782,2.23182369319239e-05
"153","AC005702.1",54,52.373657500694,1.01063714408712e-05
"154","AC005726.1",114.333333333333,71.7755761616257,2.13980580507335e-05
"155","AC005832.4",76,94.7523086789974,1.42237820278928e-05
"156","AC005833.1",102.631578947368,45.8890092461217,1.92080158963926e-05
"157","AC005837.2",150,124.450793488832,2.807325400242e-05
"158","AC005943.1",84,48.0832611206852,1.57210222413552e-05
"159","AC006030.1",114.6,44.6407885235017,2.14479660578489e-05
"160","AC006059.2",129.631578947368,49.2772322075326,2.42612016168282e-05
"161","AC006064.6",140.25,57.3756419198451,2.62484924922627e-05
"162","AC006254.1",72,54.5954821085652,1.34751619211616e-05
"163","AC006486.1",100.2,59.6254979014851,1.87529336736166e-05
"164","AC006538.2",158.5,72.8319984622144,2.96640717292238e-05
"165","AC006978.2",32,NA,5.9889608538496e-06
"166","AC007040.2",81.7777777777778,41.4872805139653,1.53051221820601e-05
"167","AC007192.1",145.6,69.3848480783603,2.72497718850157e-05
"168","AC007244.1",168,NA,3.14420444827104e-05
"169","AC007326.4",108,51.2640224719052,2.02127428817424e-05
"170","AC007375.2",85.5,71.4177848998413,1.60017547813794e-05
"171","AC007731.4",96.5,115.258405333407,1.80604600748902e-05
"172","AC007846.2",134,NA,2.50787735754952e-05
"173","AC007906.2",156,NA,2.91961841625168e-05
"174","AC007998.2",123,38.3014360044111,2.30200682819844e-05
"175","AC008012.1",147,78.5206979082586,2.75117889223716e-05
"176","AC008073.3",90.8571428571429,49.0218610126427,1.70043709957516e-05
"177","AC008162.2",122,NA,2.28329132553016e-05
"178","AC008397.1",175.5,162.227206924938,3.28457071828314e-05
"179","AC008397.2",142.4,79.1930732901739,2.66508757996307e-05
"180","AC008403.1",97.6666666666667,27.2274371422162,1.82788076060201e-05
"181","AC008481.3",140.75,86.283930523978,2.63420700056041e-05
"182","AC008537.1",98.5,28.9913780286484,1.84347701282558e-05
"183","AC008575.1",56.2,40.3323691344806,1.05181124995734e-05
"184","AC008581.2",137.357142857143,70.8678153518736,2.57070797365018e-05
"185","AC008676.3",672,NA,0.000125768177930842
"186","AC008687.1",124.2,94.3223197339845,2.32446543140038e-05
"187","AC008687.4",200.4,98.7537341066149,3.75058673472331e-05
"188","AC008687.8",153,121.34249049694,2.86347190824684e-05
"189","AC008695.1",170.793103448276,98.8423634272359,3.19647878331003e-05
"190","AC008750.8",64.5,71.4177848998413,1.20714992210406e-05
"191","AC008758.1",480.75,837.704154221525,8.99747790777562e-05
"192","AC008758.5",112.25,109.579119057115,2.10081517451443e-05
"193","AC008758.6",60,51.0098029794274,1.1229301600968e-05
"194","AC008763.2",39.8333333333333,29.5475989897759,7.45500856286487e-06
"195","AC008763.3",136.333333333333,96.6453999595083,2.55154686377551e-05
"196","AC008764.1",256.2,438.660688915704,4.79491178361334e-05
"197","AC008764.4",42.5769230769231,23.5459942698083,7.96848517453307e-06
"198","AC008770.1",57,52.3832034148352,1.06678365209196e-05
"199","AC008770.2",148.75,269.071171727009,2.78393102190665e-05
"200","AC008770.4",634,1015.93749807751,0.000118656286916895
"201","AC008878.1",70.5,14.8492424049175,1.31944293811374e-05
"202","AC008878.2",44,21.2132034355964,8.2348211740432e-06
"203","AC008878.3",155.47619047619,97.5015994984795,2.90981505771115e-05
"204","AC008982.1",108.75,48.5632202766287,2.03531091517545e-05
"205","AC009070.1",54,29.1302493736567,1.01063714408712e-05
"206","AC009133.6",359,450.920170318428,6.71886545791252e-05
"207","AC009163.3",56.6666666666667,39.6274315762873,1.06054515120253e-05
"208","AC009163.5",96.8571428571429,29.2656144728962,1.81273011558484e-05
"209","AC009412.1",327,398.661510557515,6.11996937252756e-05
"210","AC009690.1",113.5,69.7932661508258,2.12420955284978e-05
"211","AC009690.3",120.25,56.6249623720525,2.25053919586067e-05
"212","AC009779.3",83.3333333333333,55.2405209200199,1.55962522235667e-05
"213","AC009879.2",88.3333333333333,77.7002788497785,1.65320273569807e-05
"214","AC009879.3",109.285714285714,62.3958179306762,2.04533707731917e-05
"215","AC010132.3",76.9090909090909,34.9412493922428,1.43939229612408e-05
"216","AC010197.2",120.428571428571,56.1719299498042,2.25388124990858e-05
"217","AC010255.3",113.2,76.2377859069897,2.1185949020493e-05
"218","AC010319.2",169.5,125.375436190667,3.17227770227346e-05
"219","AC010323.1",84.75,46.9565401905492,1.58613885113673e-05
"220","AC010325.1",30.6666666666667,23.8484800354236,5.73942081827254e-06
"221","AC010326.2",42,14.7309198626562,7.8605111206776e-06
"222","AC010327.2",102.8,92.6131740088849,1.92395367429918e-05
"223","AC010422.3",148,55.2509426767242,2.76989439490544e-05
"224","AC010422.5",117,51.4198405287298,2.18971381218876e-05
"225","AC010422.6",488,NA,9.13316530212065e-05
"226","AC010422.8",137,64.4903093495449,2.56402386555436e-05
"227","AC010463.1",162,173.948268171891,3.03191143226136e-05
"228","AC010522.1",124,118.132259646681,2.32072233086672e-05
"229","AC010531.1",177.5,145.870947530114,3.3220017236197e-05
"230","AC010542.3",72.3333333333333,7.57187779440037,1.35375469300559e-05
"231","AC010547.4",75.4285714285714,56.1066161958853,1.41168362983598e-05
"232","AC010615.4",92,10.4403065089106,1.72182624548176e-05
"233","AC010616.1",131.739130434783,58.9585504565433,2.46556404716906e-05
"234","AC010619.1",53.5,55.024237083913,1.00127939275298e-05
"235","AC010646.1",69.5,79.9030662740799,1.30072743544546e-05
"236","AC011005.1",607.5,719.127596466719,0.000113696678709801
"237","AC011195.2",1020,NA,0.000190898127216456
"238","AC011330.3",79.5,7.77817459305202,1.48788246212826e-05
"239","AC011448.1",117,73.5934779718964,2.18971381218876e-05
"240","AC011452.1",55.5,75.6604255869606,1.03871039808954e-05
"241","AC011455.2",88.1,32.3222263433303,1.64883578507547e-05
"242","AC011462.1",159.666666666667,41.1916253624447,2.98824192603537e-05
"243","AC011473.4",146.142857142857,65.3361272483266,2.73513703280721e-05
"244","AC011479.1",87.4,53.0873494032869,1.63573493320767e-05
"245","AC011498.4",84,53.5630469633683,1.57210222413552e-05
"246","AC011499.1",77,56.4269439186635,1.44109370545756e-05
"247","AC011511.1",87,47.5657439761011,1.62824873214036e-05
"248","AC011511.4",94.2,50.8940075057958,1.76300035135198e-05
"249","AC011530.1",98.5384615384615,90.593980102263,1.84419683985128e-05
"250","AC011604.2",143.5,48.728487738092,2.68567463289818e-05
"251","AC012184.2",105,56.5247522687859,1.9651277801694e-05
"252","AC012213.5",113.142857142857,55.5440623032098,2.11752544475397e-05
"253","AC012254.2",69.4285714285714,31.6114807354182,1.2993906138263e-05
"254","AC012309.1",97.1,33.3348332995849,1.81727530908999e-05
"255","AC012488.2",147.8,143.433608335006,2.76615129437179e-05
"256","AC012531.3",189,32.5269119345812,3.53723000430492e-05
"257","AC012651.1",86.4,41.8448261280198,1.61701943053939e-05
"258","AC013271.1",124,47.0859948295765,2.32072233086672e-05
"259","AC013394.1",127,91.7877987534291,2.37686883887156e-05
"260","AC013470.2",106.785714285714,128.967007451476,1.99854832064847e-05
"261","AC013489.1",412.5,447.005219954607,7.7201448506655e-05
"262","AC013717.1",230.4,346.572936046657,4.31205181477171e-05
"263","AC015688.4",238,57.9827560572969,4.45428963505064e-05
"264","AC015802.6",849,NA,0.000158894617653697
"265","AC015813.2",201,20.4205778566621,3.76181603632428e-05
"266","AC015871.1",118.5,80.5152159532594,2.21778706619118e-05
"267","AC017083.3",165.5,114.255415626569,3.09741569160034e-05
"268","AC018362.3",153,77.2301754497554,2.86347190824684e-05
"269","AC018512.1",108.666666666667,60.351746729762,2.03375128995309e-05
"270","AC018523.2",70.2857142857143,51.6614436684145,1.31543247325625e-05
"271","AC018630.2",116.3,136.746358879009,2.17661296032097e-05
"272","AC018709.1",146.5,0.707106781186548,2.74182114090302e-05
"273","AC018755.2",183.666666666667,121.180468237885,3.43741399007409e-05
"274","AC019117.3",217.363636363636,344.642502523201,4.06806971635068e-05
"275","AC019257.8",197.125,227.408655131179,3.6892934634847e-05
"276","AC020636.2",93.8333333333333,57.700664352039,1.75613800037361e-05
"277","AC020907.6",56.5,66.10824456904,1.05742590075782e-05
"278","AC020909.1",118.9,85.156653031666,2.22527326725849e-05
"279","AC020915.4",51.8571428571429,42.0492908042794,9.70532495512235e-06
"280","AC020922.1",707.5,939.744912196922,0.000132412181378081
"281","AC021072.1",516,NA,9.65719937683249e-05
"282","AC021087.5",118.666666666667,56.3582292127778,2.22090631663589e-05
"283","AC021097.2",183,72.1248916810278,3.42493698829524e-05
"284","AC021660.3",69.6666666666667,31.1822599138249,1.30384668589017e-05
"285","AC022137.3",53,57.3585215987999,9.9192164141884e-06
"286","AC022335.1",59.8095238095238,38.7783690317412,1.1193653024457e-05
"287","AC022384.1",291,284.80870773205,5.44621127646948e-05
"288","AC022400.5",183.785714285714,241.046174501398,3.43964202610603e-05
"289","AC022414.1",108.714285714286,55.5438051065489,2.03464250436587e-05
"290","AC022415.2",1792,NA,0.000335381807815578
"291","AC022506.1",51,16.9705627484771,9.54490636082281e-06
"292","AC022826.2",80.5,49.4155845862416,1.50659796479654e-05
"293","AC023055.1",99.2142857142857,55.9088922516287,1.85684522901721e-05
"294","AC023490.5",696,NA,0.000130259898571229
"295","AC024558.2",199.5,266.579256507328,3.73374278232186e-05
"296","AC024592.3",108.333333333333,35.253196717289,2.02751278906367e-05
"297","AC025165.3",111.846153846154,59.9275203250368,2.09325699074455e-05
"298","AC025165.6",147.4,74.7683087945688,2.75866509330447e-05
"299","AC025263.2",57,39.7408270338368,1.06678365209196e-05
"300","AC025283.2",96,104.455732250557,1.79668825615488e-05
"301","AC025287.4",400,521.466202164627,7.486201067312e-05
"302","AC026316.4",165,61,3.0880579402662e-05
"303","AC026464.1",119.714285714286,68.7112661449205,2.24051303371695e-05
"304","AC026464.3",156,135.690825039868,2.91961841625168e-05
"305","AC026464.4",128.4,45.1299358642477,2.40307054260715e-05
"306","AC026464.6",246,148.492424049175,4.60401365639688e-05
"307","AC026740.3",128.25,102.923736108565,2.40026321720691e-05
"308","AC026786.1",107.4,58.2317210232819,2.01004498657327e-05
"309","AC026954.2",122.555555555556,52.486661859968,2.29368882701254e-05
"310","AC027644.4",139.2,50.9774459933018,2.60519797142458e-05
"311","AC027796.3",204.857142857143,92.5246427921207,3.83400440375908e-05
"312","AC034102.2",81.5,35.024277294471,1.52531346746482e-05
"313","AC034228.4",99.4390243902439,43.6629412548489,1.86105132630677e-05
"314","AC036214.3",119.142857142857,42.721690710257,2.22981846076365e-05
"315","AC037459.1",141,111.515999667394,2.63888587622748e-05
"316","AC040162.1",115,77.7817459305202,2.1522828068522e-05
"317","AC046185.1",80.5,109.601551083915,1.50659796479654e-05
"318","AC048338.1",124.153846153846,51.7974358339712,2.32360163896953e-05
"319","AC048338.2",122.625,40.5883076055865,2.29498851469784e-05
"320","AC053503.7",146.714285714286,88.8270121935782,2.74583160576051e-05
"321","AC055811.2",95,56.2405547625555,1.7779727534866e-05
"322","AC055839.2",357,NA,6.68143445257596e-05
"323","AC058822.1",106.125,43.9597765749752,1.98618272067122e-05
"324","AC064853.2",276,NA,5.16547873644528e-05
"325","AC067752.1",108,79.5612971236643,2.02127428817424e-05
"326","AC067968.1",224.25,400.065262533145,4.19695147336179e-05
"327","AC068234.1",157.266666666667,94.4483734010027,2.9433247196315e-05
"328","AC068533.4",76.8333333333333,26.4500673081575,1.43797445501285e-05
"329","AC068547.1",81.7222222222222,42.8716354269697,1.52947246805777e-05
"330","AC068580.4",165.821428571429,101.648287435767,3.10343138888657e-05
"331","AC068631.2",83.5,45.8421203698084,1.56274447280138e-05
"332","AC068775.1",102.857142857143,53.2429293315979,1.92502313159452e-05
"333","AC068831.7",78.1304347826087,24.9235352367125,1.46225036064779e-05
"334","AC068896.1",100.333333333333,69.8760807906874,1.87778876771743e-05
"335","AC068946.1",103,69.7638875063596,1.92769677483284e-05
"336","AC068946.2",127.166666666667,75.9300116335212,2.37998808931627e-05
"337","AC069257.3",79.5,58.7225112996143,1.48788246212826e-05
"338","AC069288.1",155,141.382460015378,2.9009029135834e-05
"339","AC069368.1",97.2857142857143,41.8517792760526,1.82075104529981e-05
"340","AC069444.2",135.352941176471,46.2546500047165,2.53319833174778e-05
"341","AC069503.2",85,63.9296488336984,1.5908177268038e-05
"342","AC072022.2",114,NA,2.13356730418392e-05
"343","AC073082.1",78,38.7556447501522,1.45980920812584e-05
"344","AC073111.4",375,284.994736793506,7.018313500605e-05
"345","AC073283.3",42.6666666666667,24.6644143115812,7.98528113846614e-06
"346","AC073508.2",151.285714285714,58.1140094576006,2.83138818938693e-05
"347","AC073585.2",127.166666666667,71.4624292049941,2.37998808931627e-05
"348","AC073610.2",116.571428571429,82.3100989001494,2.18169288247378e-05
"349","AC073612.1",126,97.5807358037436,2.35815333620328e-05
"350","AC073896.1",90.2666666666667,40.4147544957579,1.68938604085674e-05
"351","AC074143.1",225.666666666667,179.956476219483,4.22346510214186e-05
"352","AC078927.1",84,37.0675059857013,1.57210222413552e-05
"353","AC079447.1",81.8571428571429,44.2923190159369,1.53199757556064e-05
"354","AC079594.2",177.75,209.505290307111,3.32668059928677e-05
"355","AC083800.1",123,127.279220613579,2.30200682819844e-05
"356","AC083977.1",186,NA,3.48108349630008e-05
"357","AC084121.11",348,409.956908304601,6.51299492856144e-05
"358","AC084121.12",348,409.956908304601,6.51299492856144e-05
"359","AC084121.13",348,409.956908304601,6.51299492856144e-05
"360","AC084121.5",348,409.956908304601,6.51299492856144e-05
"361","AC084121.6",348,409.956908304601,6.51299492856144e-05
"362","AC084121.7",348,409.956908304601,6.51299492856144e-05
"363","AC084121.8",348,409.956908304601,6.51299492856144e-05
"364","AC084121.9",348,409.956908304601,6.51299492856144e-05
"365","AC084337.2",104.4,67.6631361968982,1.95389847856843e-05
"366","AC087289.3",148.5,95.3607186773813,2.77925214623958e-05
"367","AC087498.1",942,NA,0.000176300035135198
"368","AC087632.2",71.6666666666667,41.3653869569141,1.34127769122673e-05
"369","AC087721.2",120.272727272727,34.4269978624071,2.25096454819404e-05
"370","AC090004.1",99.25,60.8351597899329,1.85751363982679e-05
"371","AC090227.2",128.25,42.2009083630515,2.40026321720691e-05
"372","AC090360.1",85.5,68.4185647320959,1.60017547813794e-05
"373","AC090517.4",140.0625,59.2750298748695,2.62134009247597e-05
"374","AC090527.2",173.6,70.7975988293388,3.24901126321341e-05
"375","AC091057.6",133.5,63.9304309386383,2.49851960621538e-05
"376","AC091167.2",108.5,88.7755596997282,2.03063203950838e-05
"377","AC091167.6",103.666666666667,24.3378991150291,1.94017377661169e-05
"378","AC091167.7",424.5,553.664609669067,7.94473088268486e-05
"379","AC091551.1",129,39.5979797464467,2.41429984420812e-05
"380","AC091959.3",154.05,65.4317442675551,2.88312318604854e-05
"381","AC092017.3",71.5,54.464055424962,1.33815844078202e-05
"382","AC092042.3",77.625,46.2815529434476,1.45279089462524e-05
"383","AC092073.1",113.555555555556,53.1415823793174,2.12524930299802e-05
"384","AC092111.3",91.3333333333333,19.6553639837408,1.70934924370291e-05
"385","AC092143.1",478.2,489.019120280588,8.9497533759715e-05
"386","AC092329.3",490.666666666667,669.774091267596,9.18307330923606e-05
"387","AC092442.1",67.5,54.4472221513642,1.2632964301089e-05
"388","AC092587.1",98.25,41.4517792139252,1.83879813715851e-05
"389","AC092647.5",135,81.9237450315841,2.5265928602178e-05
"390","AC092718.3",96.2,37.3462562667646,1.80043135668854e-05
"391","AC092718.8",127,40.5380479714223,2.37686883887156e-05
"392","AC092835.1",193.6,377.735710076062,3.62332131657901e-05
"393","AC093155.3",113.625,65.1436599261312,2.12654899068332e-05
"394","AC093227.2",69.9,39.8593360038356,1.30821363651277e-05
"395","AC093323.1",357,0,6.68143445257596e-05
"396","AC093423.3",78,84.8528137423857,1.45980920812584e-05
"397","AC093512.2",113.068965517241,76.2968502600593,2.11614252583759e-05
"398","AC093525.1",114.25,58.1456504535521,2.13824617985099e-05
"399","AC093525.2",564,567.099638511611,0.000105555435049099
"400","AC093668.1",130.142857142857,31.9240169330687,2.43568899011473e-05
"401","AC093827.5",117,46.6047207909242,2.18971381218876e-05
"402","AC093884.1",87.5,45.5137341909011,1.6376064834745e-05
"403","AC093899.2",102,44.270381370242,1.90898127216456e-05
"404","AC096887.1",77.1428571428571,81.1180797180435,1.44376734869589e-05
"405","AC097104.1",97.5,119.501046020527,1.8247615101573e-05
"406","AC097625.2",94.5,77.4446038576392,1.76861500215246e-05
"407","AC097634.4",120.952380952381,49.7428147479374,2.26368460844911e-05
"408","AC097636.2",94.5555555555556,121.283872702754,1.7696547523007e-05
"409","AC097637.1",531.428571428571,1130.10041694575,9.94595284657166e-05
"410","AC098484.3",96.5,108.803952134102,1.80604600748902e-05
"411","AC098582.1",135.913043478261,50.6798445174825,2.54368092787145e-05
"412","AC098588.2",89.25,41.5722263055516,1.67035861314399e-05
"413","AC098650.1",136.5,145.54838828834,2.55466611422022e-05
"414","AC098850.3",251.470588235294,258.301935157061,4.70639846511159e-05
"415","AC099489.1",140.682926829268,53.7832591441558,2.63295169245461e-05
"416","AC099811.2",117.5,43.739933906921,2.1990715635229e-05
"417","AC099850.2",110,79.3032155716274,2.0587052935108e-05
"418","AC100868.1",114.833333333333,70.7000707213225,2.14916355640749e-05
"419","AC104109.3",91,14.9331845230681,1.70311074281348e-05
"420","AC104304.2",25,28.2842712474619,4.67887566707e-06
"421","AC104389.5",120,156.977705423414,2.2458603201936e-05
"422","AC104389.6",135,63.9426826671095,2.5265928602178e-05
"423","AC104452.1",111.181818181818,44.3025496906319,2.08082361484604e-05
"424","AC104472.3",526.5,351.432070249714,9.85371215484943e-05
