orofacial cleft,CHD,autism,als,alzheimers,adhd,schizophrenia,coronary artery,obesity,type 2 diabetes
,DNAH11,MED13,,,,NFAM1,APOE,GALNT10,TP53INP1
,DNAH5,MED13L,,,,NFKB2,KCNE2,LOC646736,C2CD4A
,DNAI1,MET,,,,NLGN4X,ABHD2,UBE2E3,BCL11A
,DNAI2,MSNP1AS,,,,NTM,RASD1,TOMM40,DUSP8
,DNAL1,NCKAP1,,,,PALLD,PEMT,RABEP1,SLC30A8
,DOCK6,NCOR1,,,,PAPPA2,FES,TDRG1,WFS1
,DYNC2H1,NLGN3,,,,PBRM1,APOA1,ELAVL4,ANKRD55
,DYX1C1,NRXN1,,,,PCLC1,APOA5,LOC284260,TLE1
,ECE1,PHF3,,,,PDE4D,NT5C2,ETS2,IRS1
,EFTUD2,PTCHD1,,,,PDE8A,CNNM2,FOXO3,UBE2E2
,EHMT1,RANBP17,,,,PJA1,LPA,LMX1B,HMG20A
,ELN,RIMS1,,,,PLXNA2,C6orf105,EHBP1,ZMIZ1
,EOGT,SCN9A,,,,PODXL,SLC22A5,CLIP1,ADCY5
,ESCO2,SET,,,,PPARGC1A,ACO74093.1,SMG6,MC4R
,EVC,SHANK2,,,,PRDM16,GGCX,TAL1,RND3
,EVC2,SLC6A1,,,,PRKD1,VAMP8,LRP1B,MAEA
,FBN1,SMARCC2,,,,PRSS35,ABCG8,KCTD15,CDKN2A
,FBN2,SPAST,,,,PTK2B,LOC400684,HHIP,CDKN2B
,FGF8,SRCAP,,,,PTPRU,ADORA2A,GBE1,CENTD2
,FGFR1,SRSF11,,,,RAI1,MC4R,LOC285762,TCF19
,FIG4,TAOK2,,,,RERE,,EPB41L4B,RREB1
,FKTN,TBL1XR1,,,,RGS6,,INO80E,
,FLNA,TCF20,,,,RORA,,MIR548A2,
,FOXC1,TNRC6B,,,,SATB1,,GRID1,
,FOXC2,TRIO,,,,SATB2,,HSD17B12,
,FTO,UBN2,,,,SF3B1,,PMS2L11,
,GATA4,UPF3B,,,,SMG6,,CREB1,
,GATA6,USP15,,,,SOX2,,PGPEP1,
,GDF1,USP7,,,,ST3GAL3,,GRP,
,GJA1,WAC,,,,STAG1,,ZBTB10,
,GLI3,WDFY3,,,,SYBU,,C18orf8,
,GPC3,,,,,TAOK2,,IFNGR1,
,GPC6,,,,,TCF4,,RALYL,
,HCCS,,,,,THBS1,,MIR548X2,
,HOXA1,,,,,TLE1,,FIGN,
,HRAS,,,,,TLE3,,ASB4,
,IFT122,,,,,TMEFF2,,,
,IFT140,,,,,TRIM27,,,
,IFT80,,,,,UBE2D3,,,
,INVS,,,,,UFL1,,,
,IRX5,,,,,UPF1,,,
,JAG1,,,,,VRK2,,,
,C5ORF42,,,,,ZNF536,,,
,KANSL1,,,,,ZNF804A,,,
,KAT6B,,,,,,,,
,KIF7,,,,,,,,
,KMT2A,,,,,,,,
,KMT2D,,,,,,,,
,KRAS,,,,,,,,
,LBR,,,,,,,,
,LEFTY2,,,,,,,,
,LRP2,,,,,,,,
,LTBP4,,,,,,,,
,MAP2K1,,,,,,,,
,MAP2K2,,,,,,,,
,MED12,,,,,,,,
,MED13L,,,,,,,,
,MEGF8,,,,,,,,
,MGP,,,,,,,,
,MID1,,,,,,,,
,MKS1,,,,,,,,
,MYH6,,,,,,,,
,NEK1,,,,,,,,
,NF1,,,,,,,,
,NIPBL,,,,,,,,
,NKX2-5,,,,,,,,
,NKX2-6,,,,,,,,
,NME8,,,,,,,,
,NODAL,,,,,,,,
,NOTCH1,,,,,,,,
,NOTCH2,,,,,,,,
,NPHP3,,,,,,,,
,NPHP4,,,,,,,,
,NEK8,,,,,,,,
,NR2F2,,,,,,,,
,NRAS,,,,,,,,
,NSD1,,,,,,,,
,NSDHL,,,,,,,,
,OFD1,,,,,,,,
,PEX1,,,,,,,,
,PEX13,,,,,,,,
,PHGDH,,,,,,,,
,PITX2,,,,,,,,
,PKD1,,,,,,,,
,PKD2,,,,,,,,
,PLOD1,,,,,,,,
,PKD1L1,,,,,,,,
,PQBP1,,,,,,,,
,PTEN,,,,,,,,
,PTPN11,,,,,,,,
,RAB23,,,,,,,,
,RAD21,,,,,,,,
,RAF1,,,,,,,,
,RAI1,,,,,,,,
,RBM10,,,,,,,,
,RBM8A,,,,,,,,
,RIT1,,,,,,,,
,RNU4ATAC,,,,,,,,
,ROR2,,,,,,,,
,RPGRIP1L,,,,,,,,
,RPL11,,,,,,,,
,RPL35A,,,,,,,,
,RPL5,,,,,,,,
,RPS10,,,,,,,,
,RPS17,,,,,,,,
,RPS19,,,,,,,,
,RPS24,,,,,,,,
,RPS26,,,,,,,,
,RPS7,,,,,,,,
,RSPH4A,,,,,,,,
,RSPH9,,,,,,,,
,SALL1,,,,,,,,
,SEMA3E,,,,,,,,
,SETBP1,,,,,,,,
,SF3B4,,,,,,,,
,SH3PXD2B,,,,,,,,
,SHH,,,,,,,,
,SHOC2,,,,,,,,
,SKI,,,,,,,,
,SMAD3,,,,,,,,
,SMAD4,,,,,,,,
,SMARCA4,,,,,,,,
,SMARCB1,,,,,,,,
,SMARCE1,,,,,,,,
,SMC3,,,,,,,,
,SMS,,,,,,,,
,SOS1,,,,,,,,
,SOX2,,,,,,,,
,SOX9,,,,,,,,
,STAMBP,,,,,,,,
,STRA6,,,,,,,,
,TAB2,,,,,,,,
,TBX1,,,,,,,,
,TBX20,,,,,,,,
,TBX3,,,,,,,,
,TBX5,,,,,,,,
,TCOF1,,,,,,,,
,TFAP2B,,,,,,,,
,TGFBR1,,,,,,,,
,TGFBR2,,,,,,,,
,TLL1,,,,,,,,
,TSC1,,,,,,,,
,TSC2,,,,,,,,
,TTC21B,,,,,,,,
,TWIST1,,,,,,,,
,UBR1,,,,,,,,
,WDR19,,,,,,,,
,WDR35,,,,,,,,
,WDR60,,,,,,,,
,ZEB2,,,,,,,,
,ZFPM2,,,,,,,,
,ZIC3,,,,,,,,
,ACAN,,,,,,,,
,ADAMTS6,,,,,,,,
,ANKS6,,,,,,,,
,AP1B1,,,,,,,,
,AP2B1,,,,,,,,
,BICC1,,,,,,,,
,CC2D2A,,,,,,,,
,CNTRL,,,,,,,,
,NAT8,,,,,,,,
,CXCR4,,,,,,,,
,DAW1,,,,,,,,
,DCTN5,,,,,,,,
,DNM2,,,,,,,,
,DRC1,,,,,,,,
,FOXJ1,,,,,,,,
,FREM2,,,,,,,,
,FUZ,,,,,,,,
,C1ORF127,,,,,,,,
,HECTD1,,,,,,,,
,IFT74,,,,,,,,
,LOX,,,,,,,,
,LRP1,,,,,,,,
,LTBP1,,,,,,,,
,MMP21,,,,,,,,
,MYH10,,,,,,,,
,NDST1,,,,,,,,
,PCSK5,,,,,,,,
,PDE2A,,,,,,,,
,PLXND1,,,,,,,,
,PRDM1,,,,,,,,
,PRICKLE1,,,,,,,,
,PSKH1,,,,,,,,
,PTK7,,,,,,,,
,ROBO1,,,,,,,,
,SMAD6,,,,,,,,
,SNX17,,,,,,,,
,SUFU,,,,,,,,
,TAB1,,,,,,,,
,TBC1D32,,,,,,,,
,TMEM67,,,,,,,,
,ZBTB14,,,,,,,,
