"","gene","ensembl_gene_id","Length","transcript_length","cds_length"
"201","ACAN","ENSG00000157766",71914,7526,NA
"202","ACAP1","ENSG00000072818",14948,603.5,NA
"203","ACAP1","ENSG00000288169",14948,603.5,NA
"204","ACAP2","ENSG00000114331",168299,729,NA
"205","ACAP2-IT1","ENSG00000229325",2018,690,NA
"206","ACAP3","ENSG00000131584",17219,819,NA
"207","ACAT1","ENSG00000075239",30908,1198,NA
"208","ACAT2","ENSG00000120437",17067,1520,NA
"209","ACBD3","ENSG00000182827",42062,1939,NA
"210","ACBD3-AS1","ENSG00000234478",7068,535,NA
"211","ACBD4","ENSG00000181513",11581,1364.5,NA
"212","ACBD5","ENSG00000107897",46916,2716,1362
"213","ACBD6","ENSG00000230124",233301,1920,NA
"214","ACBD7","ENSG00000176244",13301,1922,NA
"215","ACCS","ENSG00000110455",18312,884,NA
"216","ACCSL","ENSG00000205126",11996,1813,1117.5
"217","ACD","ENSG00000102977",3303,997,NA
"218","ACE","ENSG00000159640",21319,957.5,NA
"219","ACE2","ENSG00000130234",41115,998,NA
"220","ACE3P","ENSG00000224353",12750,1973,NA
"221","ACER1","ENSG00000167769",27470,1428,795
"222","ACER2","ENSG00000177076",43496,2773,828
"223","ACER3","ENSG00000078124",165930,930,NA
"224","ACHE","ENSG00000087085",6980,1701,NA
"225","ACIN1","ENSG00000100813",37050,888,NA
"226","ACKR1","ENSG00000213088",3193,1219,NA
"227","ACKR2","ENSG00000144648",83222,797,NA
"228","ACKR3","ENSG00000144476",14567,1364,860.5
"229","ACKR4","ENSG00000129048",21697,1367,558
"230","ACKR4P1","ENSG00000225415",1052,1053,NA
"231","ACLY","ENSG00000131473",63625,1878.5,NA
"232","ACMSD","ENSG00000153086",63418,1279.5,NA
"233","ACNATP","ENSG00000227411",5263,1225,NA
"234","ACO1","ENSG00000122729",70166,3618,2670
"235","ACO2","ENSG00000100412",59872,699,NA
"236","ACOD1","ENSG00000102794",10127,2122,1446
"237","ACOT1","ENSG00000184227",6653,1478.5,1227
"238","ACOT11","ENSG00000162390",96935,2875,NA
"239","ACOT12","ENSG00000172497",64183,716,NA
"240","ACOT13","ENSG00000112304",38030,4041,NA
"241","ACOT2","ENSG00000119673",8038,1578,NA
"242","ACOT4","ENSG00000177465",4790,2362,1266
"243","ACOT6","ENSG00000205669",8943,1004,624
"244","ACOT7","ENSG00000097021",130122,1518,NA
"245","ACOT8","ENSG00000101473",15684,1082,NA
"246","ACOT9","ENSG00000123130",65420,1485,NA
"247","ACOX1","ENSG00000161533",37670,681,NA
"248","ACOX2","ENSG00000168306",32147,693,NA
"249","ACOX3","ENSG00000087008",74441,1380.5,NA
"250","ACOXL","ENSG00000153093",385649,577,NA
"251","ACOXL-AS1","ENSG00000204581",18062,2860,NA
"252","ACP1","ENSG00000143727",14143,689,NA
"253","ACP2","ENSG00000134575",9604,1173,NA
"254","ACP4","ENSG00000142513",4804,1342,1281
"255","ACP5","ENSG00000102575",4348,583,NA
"256","ACP6","ENSG00000162836",40872,1081.5,NA
"257","ACP7","ENSG00000183760",27580,2018,1054.5
"258","ACPP","ENSG00000014257",50929,581,NA
"259","ACR","ENSG00000100312",7143,847.5,NA
"260","ACR","ENSG00000283539",7137,847.5,NA
"261","ACRBP","ENSG00000111644",9358,811,NA
"262","ACRV1","ENSG00000134940",9352,918,687
"263","ACSBG1","ENSG00000103740",78220,704.5,NA
"264","ACSBG2","ENSG00000130377",57847,789,NA
"265","ACSF2","ENSG00000167107",48687,595,NA
"266","ACSF3","ENSG00000176715",75746,883,NA
"267","ACSL1","ENSG00000151726",71223,2568,NA
"268","ACSL3","ENSG00000123983",83697,639,NA
"269","ACSL4","ENSG00000068366",109159,4602,NA
"270","ACSL5","ENSG00000197142",54362,3281,NA
"271","ACSL6","ENSG00000164398",62270,2502.5,NA
"272","ACSM1","ENSG00000166743",75653,1703.5,NA
"273","ACSM2A","ENSG00000183747",36208,1681,NA
"274","ACSM2B","ENSG00000066813",40201,1214,NA
"275","ACSM3","ENSG00000005187",187338,756,NA
"276","ACSM4","ENSG00000215009",24440,1426,NA
"277","ACSM5","ENSG00000183549",31802,771,NA
"278","ACSM5P1","ENSG00000260762",20557,2438,NA
"279","ACSM6","ENSG00000173124",34728,1652,934.5
"280","ACSS1","ENSG00000154930",52750,3509,NA
"281","ACSS2","ENSG00000131069",55816,613,NA
"282","ACSS3","ENSG00000111058",324796,2035.5,NA
"283","ACTA1","ENSG00000143632",2853,1306.5,949.5
"284","ACTA2","ENSG00000107796",56265,820,NA
"285","ACTA2-AS1","ENSG00000180139",8430,810.5,NA
"286","ACTB","ENSG00000075624",36636,686,NA
"287","ACTBL2","ENSG00000169067",2793,2794,1131
"288","ACTBP1","ENSG00000229145",1112,1113,NA
"289","ACTBP11","ENSG00000188460",1125,1126,NA
"290","ACTBP12","ENSG00000233125",417,418,NA
"291","ACTBP13","ENSG00000234667",3958,3959,NA
"292","ACTBP14","ENSG00000229001",1088,1089,NA
"293","ACTBP2","ENSG00000213763",1122,1123,NA
"294","ACTBP6","ENSG00000203413",1089,1090,NA
"295","ACTBP7","ENSG00000185607",1123,1124,NA
"296","ACTBP8","ENSG00000220267",1107,1108,NA
"297","ACTBP9","ENSG00000266920",1098,1099,NA
"298","ACTC1","ENSG00000159251",5319,1093.5,NA
"299","ACTG1","ENSG00000184009",13876,1608.5,NA
"300","ACTG1P1","ENSG00000178631",1128,1129,NA
"301","ACTG1P10","ENSG00000231340",1081,1082,NA
"302","ACTG1P11","ENSG00000229465",1124,1125,NA
"303","ACTG1P12","ENSG00000226642",1165,1166,NA
"304","ACTG1P13","ENSG00000241305",1042,1043,NA
"305","ACTG1P14","ENSG00000230581",1121,1122,NA
"306","ACTG1P15","ENSG00000259904",1062,1063,NA
"307","ACTG1P16","ENSG00000260298",1081,1082,NA
"308","ACTG1P17","ENSG00000259315",13031,1119,NA
"309","ACTG1P18","ENSG00000218475",1142,1143,NA
"310","ACTG1P19","ENSG00000237999",1115,1116,NA
"311","ACTG1P2","ENSG00000229129",1124,1125,NA
"312","ACTG1P20","ENSG00000241547",467,468,NA
"313","ACTG1P21","ENSG00000232672",999,1000,NA
"314","ACTG1P22","ENSG00000271615",10624,979,NA
"315","ACTG1P23","ENSG00000230362",1073,1074,NA
"316","ACTG1P24","ENSG00000226359",876,877,NA
"317","ACTG1P3","ENSG00000215388",1113,1114,NA
"318","ACTG1P4","ENSG00000236085",1121,1122,NA
"319","ACTG1P9","ENSG00000229349",2657,2658,NA
"320","ACTG2","ENSG00000163017",27551,927,NA
"321","ACTL10","ENSG00000182584",1582,1583,738
"322","ACTL6A","ENSG00000136518",25521,609.5,NA
"323","ACTL6B","ENSG00000077080",13351,868.5,NA
"324","ACTL7A","ENSG00000187003",1490,1491,1308
"325","ACTL7B","ENSG00000148156",1398,1399,1248
"326","ACTL8","ENSG00000117148",71730,1755.5,1101
"327","ACTL9","ENSG00000181786",1395,1324,1249.5
"328","ACTN1","ENSG00000072110",105297,828,NA
"329","ACTN1-AS1","ENSG00000259062",7781,541.5,NA
"330","ACTN2","ENSG00000077522",100490,2716,NA
"331","ACTN3","ENSG00000248746",16939,2882,2706
"332","ACTN4","ENSG00000130402",83940,877,NA
"333","ACTN4","ENSG00000282844",83940,877,NA
"334","ACTN4P1","ENSG00000213493",1450,1451,NA
"335","ACTN4P2","ENSG00000214141",2748,1892,NA
"336","ACTP1","ENSG00000229890",382,383,NA
"337","ACTR10","ENSG00000131966",35556,656,NA
"338","ACTR1A","ENSG00000138107",40831,1046,NA
"339","ACTR1B","ENSG00000115073",8105,1151,NA
"340","ACTR2","ENSG00000138071",43500,1429,1020
"341","ACTR3","ENSG00000115091",72533,747,NA
"342","ACTR3B","ENSG00000133627",95629,1692,NA
"343","ACTR3BP1","ENSG00000270242",1377,1247,NA
"344","ACTR3BP2","ENSG00000226481",1372,1373,NA
"345","ACTR3BP3","ENSG00000260327",978,979,NA
"346","ACTR3BP4","ENSG00000249283",1371,1244,NA
"347","ACTR3BP5","ENSG00000227264",1478,1479,NA
"348","ACTR3BP5","ENSG00000288338",1478,1479,NA
"349","ACTR3BP6","ENSG00000226444",1368,1241,NA
"350","ACTR3C","ENSG00000106526",79809,948,598.5
"351","ACTR3P2","ENSG00000232267",1256,1257,NA
"352","ACTR3P3","ENSG00000242573",892,893,NA
"353","ACTR5","ENSG00000101442",24060,2547,1824
"354","ACTR6","ENSG00000075089",42743,780,NA
"355","ACTR6P1","ENSG00000248915",1103,1104,NA
"356","ACTR8","ENSG00000113812",15086,955,NA
"357","ACTRT1","ENSG00000123165",1436,1437,1131
"358","ACTRT2","ENSG00000169717",1436,1437,1134
"359","ACTRT3","ENSG00000184378",2640,1671,1119
"360","ACVR1","ENSG00000115170",139418,2814.5,NA
"361","ACVR1B","ENSG00000135503",45379,1782,NA
"362","ACVR1C","ENSG00000123612",102097,1643.5,1287
"363","ACVR2A","ENSG00000121989",86309,993,NA
"364","ACVR2B","ENSG00000114739",39252,5370,NA
"365","ACVR2B-AS1","ENSG00000229589",3793,2517,NA
"366","ACVRL1","ENSG00000139567",16453,733,NA
"367","ACY1","ENSG00000243989",5857,1059,NA
"368","ACY3","ENSG00000132744",8175,1152,778.5
"369","ACYP1","ENSG00000119640",16246,622.5,244.5
"370","ACYP2","ENSG00000170634",334462,993,NA
"371","ADA","ENSG00000196839",32711,1128,NA
"372","ADA2","ENSG00000093072",79445,2002,NA
"373","ADAD1","ENSG00000164113",50836,977,NA
"374","ADAD1P2","ENSG00000267511",645,646,NA
"375","ADAD2","ENSG00000140955",6030,801,NA
"376","ADAL","ENSG00000168803",23898,1911.5,NA
"377","ADAM10","ENSG00000137845",160982,674,NA
"378","ADAM11","ENSG00000073670",22858,2858,NA
"379","ADAM12","ENSG00000148848",376074,600,NA
"380","ADAM15","ENSG00000143537",12209,1163,NA
"381","ADAM17","ENSG00000151694",68246,2826,NA
"382","ADAM18","ENSG00000168619",145576,1116.5,NA
"383","ADAM18","ENSG00000278548",145561,1117,NA
"384","ADAM19","ENSG00000135074",180241,2839,NA
"385","ADAM1A","ENSG00000229186",2128,2129,NA
"386","ADAM1B","ENSG00000226469",1999,2000,NA
"387","ADAM2","ENSG00000104755",94554,2125,NA
"388","ADAM2","ENSG00000276286",94551,2125,NA
"389","ADAM20","ENSG00000134007",12657,2787.5,2256
"390","ADAM20P1","ENSG00000259158",30234,2326,NA
"391","ADAM20P2","ENSG00000248574",1272,1273,NA
"392","ADAM20P3","ENSG00000249162",2105,2106,NA
"393","ADAM21","ENSG00000139985",7731,2647,2169
"394","ADAM21P1","ENSG00000235812",2310,2109.5,NA
"395","ADAM22","ENSG00000008277",268746,2576,NA
"396","ADAM23","ENSG00000114948",177595,2714,2499
"397","ADAM24P","ENSG00000214607",2100,2101,NA
"398","ADAM28","ENSG00000042980",64945,660,NA
"399","ADAM29","ENSG00000168594",148512,1529,NA
"400","ADAM30","ENSG00000134249",2982,2983,2373
"401","ADAM32","ENSG00000197140",177927,712,NA
"402","ADAM32","ENSG00000275594",177953,712,NA
"403","ADAM33","ENSG00000149451",14281,3195,NA
"404","ADAM3A","ENSG00000197475",71807,2284,NA
"405","ADAM3B","ENSG00000260089",839,840,NA
"406","ADAM5","ENSG00000196115",102787,1268.5,NA
"407","ADAM6","ENSG00000271968",2540,1421,NA
"408","ADAM6","ENSG00000282626",2540,1421,NA
"409","ADAM7","ENSG00000069206",86040,2614,1908
"410","ADAM8","ENSG00000151651",14448,818,NA
"411","ADAM9","ENSG00000168615",108392,2387,NA
"412","ADAM9","ENSG00000282230",3281,1599,NA
"413","ADAMDEC1","ENSG00000134028",21728,1983,NA
"414","ADAMTS1","ENSG00000154734",9654,877,NA
"415","ADAMTS10","ENSG00000142303",30495,997.5,NA
"416","ADAMTS12","ENSG00000151388",368484,1873,NA
"417","ADAMTS12","ENSG00000281690",52035,640.5,NA
"418","ADAMTS13","ENSG00000160323",45044,3022,NA
"419","ADAMTS13","ENSG00000281244",45044,3022,NA
"420","ADAMTS14","ENSG00000138316",89935,5413,3676.5
"421","ADAMTS15","ENSG00000166106",27667,5673,2853
"422","ADAMTS16","ENSG00000145536",179974,2954.5,NA
"423","ADAMTS17","ENSG00000140470",370568,847,NA
"424","ADAMTS18","ENSG00000140873",187221,626,NA
"425","ADAMTS19","ENSG00000145808",278402,705,NA
"426","ADAMTS19-AS1","ENSG00000249421",36294,1944.5,NA
"427","ADAMTS2","ENSG00000087116",234608,2044,NA
"428","ADAMTS2","ENSG00000283802",234608,2044,NA
"429","ADAMTS20","ENSG00000173157",198337,4633,4515
"430","ADAMTS3","ENSG00000156140",288252,2740.5,NA
"431","ADAMTS4","ENSG00000158859",14752,1961,NA
"432","ADAMTS5","ENSG00000154736",49166,6607,1694
"433","ADAMTS6","ENSG00000049192",333182,2032,NA
"434","ADAMTS7","ENSG00000136378",52258,3178,NA
"435","ADAMTS7P1","ENSG00000274376",36056,573,NA
"436","ADAMTS7P1","ENSG00000281976",36069,573,NA
"437","ADAMTS7P3","ENSG00000261143",17015,1959.5,NA
"438","ADAMTS7P4","ENSG00000218052",74965,511.5,NA
"439","ADAMTS8","ENSG00000134917",23686,2939,NA
"440","ADAMTS9","ENSG00000163638",172346,3019.5,NA
"441","ADAMTS9-AS1","ENSG00000241158",31435,822,NA
"442","ADAMTS9-AS2","ENSG00000241684",368530,2261,NA
"443","ADAMTSL1","ENSG00000178031",1004387,1562,NA
"444","ADAMTSL2","ENSG00000197859",43355,3971.5,2856
"445","ADAMTSL3","ENSG00000156218",385754,1521.5,NA
"446","ADAMTSL4","ENSG00000143382",11568,3537.5,NA
"447","ADAMTSL4-AS1","ENSG00000203804",14350,1036,NA
"448","ADAMTSL5","ENSG00000185761",8582,735,NA
"449","ADAP1","ENSG00000105963",57507,742,NA
"450","ADAP2","ENSG00000184060",52978,838,NA
"451","ADAR","ENSG00000160710",45956,5270,NA
"452","ADARB1","ENSG00000197381",152707,3563,NA
"453","ADARB2","ENSG00000185736",560212,768,NA
"454","ADARB2-AS1","ENSG00000205696",30347,631,NA
"455","ADAT1","ENSG00000065457",26319,578,NA
"456","ADAT2","ENSG00000189007",27863,6244,NA
"457","ADAT3","ENSG00000213638",8048,1291,656
"458","ADCK1","ENSG00000063761",134905,1135.5,NA
"459","ADCK2","ENSG00000133597",23316,1487,NA
"460","ADCK5","ENSG00000173137",20141,810,NA
"461","ADCK5","ENSG00000285451",20141,810,NA
"462","ADCY1","ENSG00000164742",148976,1647,NA
"463","ADCY10","ENSG00000143199",104829,4966,4374
"464","ADCY10P1","ENSG00000161912",39813,3848,NA
"465","ADCY2","ENSG00000078295",433943,679.5,NA
"466","ADCY3","ENSG00000138031",100670,887,NA
"467","ADCY4","ENSG00000129467",16744,897,NA
"468","ADCY4","ENSG00000284814",16744,897,NA
"469","ADCY5","ENSG00000173175",167462,649,NA
"470","ADCY6","ENSG00000174233",22843,1694,NA
"471","ADCY6-DT","ENSG00000257660",1388,456,NA
"472","ADCY7","ENSG00000121281",71998,670,NA
"473","ADCY8","ENSG00000155897",260608,3363,3363
"474","ADCY9","ENSG00000162104",163055,697,NA
"475","ADCYAP1","ENSG00000141433",7301,2585.5,NA
"476","ADCYAP1R1","ENSG00000078549",59018,1761,1407
"477","ADD1","ENSG00000087274",86219,1332,NA
"478","ADD2","ENSG00000075340",160607,963.5,NA
"479","ADD3","ENSG00000148700",139197,631,NA
"480","ADD3-AS1","ENSG00000203876",68277,1407,NA
"481","ADGB","ENSG00000118492",216495,762.5,NA
"482","ADGRA1","ENSG00000197177",60746,4283,1683
"483","ADGRA1-AS1","ENSG00000256925",5418,2646,NA
"484","ADGRA2","ENSG00000020181",60705,6270,3366
"485","ADGRA3","ENSG00000152990",170995,682,NA
"486","ADGRB1","ENSG00000181790",95579,5715,NA
"487","ADGRB2","ENSG00000121753",37776,2936,NA
"488","ADGRB3","ENSG00000135298",754224,2927,2187
"489","ADGRD1","ENSG00000111452",187562,726.5,NA
"490","ADGRD1-AS1","ENSG00000256151",3838,1157,NA
"491","ADGRD2","ENSG00000180264",27164,1526,NA
"492","ADGRE1","ENSG00000174837",52893,2627,NA
"493","ADGRE2","ENSG00000127507",46168,2193,NA
"494","ADGRE3","ENSG00000131355",70910,2099,1581
"495","ADGRE4P","ENSG00000268758",45372,2772,NA
"496","ADGRE5","ENSG00000123146",28224,572.5,NA
"497","ADGRF1","ENSG00000153292",44642,1242,NA
"498","ADGRF2","ENSG00000164393",41361,3969,1929
"499","ADGRF3","ENSG00000173567",38644,3423,NA
"500","ADGRF4","ENSG00000153294",36157,3075,2088
"501","ADGRF5","ENSG00000069122",102421,3138.5,NA
"502","ADGRF5P1","ENSG00000227582",4084,1057.5,NA
"503","ADGRF5P2","ENSG00000204818",5280,1659,NA
